CODE	NOM	DCI1	DOSAGE1	UNITE_DOSAGE1	FORME	PRESENTATION	PPV	PH	PRIX_BR	PRINCEPS_GENERIQUE	TAUX_REMBOURSEMENT
6118001270194	CEBESINE	OXYBUPROCAINE	0.4	%	COLLYRE	1 FLACON 10 ML	 23,00   	 15,20   	 23,00   	P	0%
6118001250592	CHEMOSET	ONDANSETRON	8	MG	COMPRIME PELLICULE	1 BOITE 1 COMPRIME PELLICULE	 39,00   	 24,30   	 39,00   	G	70%
6118001141494	ZOFRAN	ONDANSETRON	8	MG	SOLUTION INJECTABLE	1 BOITE 5 AMPOULE INJECTABLE	 1 404,60   	 929,10   	 643,00   	P	70%
6118000190950	METROZAL	METRONIDAZOLE	500	MG	OVULE	1 BOITE 10 OVULE	 28,00   	 17,40   	 28,00   	G	70%
6118000041467	TRE-ZEN 20 MG	PAROXETINE	20	MG	COMPRIME SECABLE	1 BOITE 30 COMPRIME SECABLE	 130,20   	 86,10   	 130,20   	G	70%
6118001200382	ULTRAVIST	IOPROMIDE	370	MG	SOLUTION INJECTABLE	1 FLACON 100 ML	 667,60   	 441,60   	 667,60   	P	0%
6118000160113	AMOXIL	AMOXICILLINE	500	MG	COMPRIME DISPERSIBLE	1 BOITE 12 COMPRIME	 34,60   	 21,50   	 34,60   	P	70%
6118010033049	OESTRODOSE	ESTRADIOL	0.06	%	GEL	1 FLACON 80 G	 86,00   	 56,90   	 86,00   	P	0%
6118001260324	OESTRODOSE	ESTRADIOL	0.06	%	GEL	1 FLACON 80 G	 86,00   	 56,90   	 86,00   	P	0%
6118010116094	SPIRIVA	TIOTROPIUM	18	µG	GELULE INHALEE	1 BOITE 30 GELULE	 571,00   	 378,00   	 571,00   	P	70%
6118001040223	SPIRIVA	TIOTROPIUM	18	µG	GELULE INHALEE	1 BOITE 30 GELULE	 571,00   	 378,00   	 571,00   	P	70%
6118001121052	VITRIMIX KV *	MULTIPLE		NA	PREPARATION INJECTABLE POUR PERFUSION	1 BOITE 2 FLACON	 391,90   	 -     	 391,90   	P	0%
6118000071150	NOCOL	SIMVASTATINE	40	MG	COMPRIME PELLICULE	1 BOITE 30 COMPRIME	 198,00   	 123,70   	 198,00   	G	70%
6118000140986	DISPAMOX 250 MG	AMOXICILLINE	250	MG	POUDRE POUR SUSPENSION BUVABLE	1 FLACON 60 ML	 18,00   	 11,90   	 18,00   	G	70%
6118001150151	INTRONA	INTERFERON ALFA-2B	18	MUI	SOLUTION INJECTABLE	1 STYLO 1.5 ML	 -     	 1 200,00   	 1 200,00   	P	70%
6118000070108	AZITHRIX	AZITHROMYCINE	200	MG	POUDRE POUR SUSPENSION BUVABLE	1 FLACON 30 ML	 99,00   	 61,70   	 99,00   	G	70%
6118000040941	AZIX	AZITHROMYCINE	500	MG	COMPRIME PELLICULE	1 BOITE 3 COMPRIME	 79,70   	 49,70   	 79,70   	G	70%
6118010000966	SYNNAX	LAMOTRIGINE	5	MG	COMPRIME DISPERSIBLE	1 BOITE 30 COMPRIME	 41,20   	 25,70   	 41,20   	G	70%
6118001101511	SYNNAX	LAMOTRIGINE	5	MG	COMPRIME DISPERSIBLE	1 BOITE 30 COMPRIME	 41,20   	 25,70   	 41,20   	G	70%
6118000012436	NOZINAN	LEVOMEPROMAZINE	25	MG	COMPRIME PELLICULE SECABLE	1 BOITE 20 COMPRIME	 16,20   	 10,10   	 16,20   	P	70%
6118010116193	STILNOX CR	ZOLPIDEM	12.5	MG	COMPRIME PELLICULE SECABLE	1 BOITE 28 COMPRIME PELLICULE	 122,00   	 76,00   	 122,00   	P	70%
6118000061823	STILNOX CR	ZOLPIDEM	12.5	MG	COMPRIME PELLICULE SECABLE	1 BOITE 28 COMPRIME PELLICULE	 122,00   	 76,00   	 122,00   	P	70%
6118000140849	RAZON 40 MG	PANTOPRAZOLE	40	MG	COMPRIME ENROBE GASTRO-RESISTANT	1 BOITE 28 COMPRIME ENROBE GASTRO-RESISTANT	 180,00   	 119,10   	 180,00   	G	0%
6118001100996	ORGALUTRAN	GANIRELIX	0.25	MG	SOLUTION INJECTABLE	1 BOITE 1 AMPOULE INJECTABLE	 512,60   	 339,70   	 512,60   	P	0%
6118001120482	XALATAN	LATANOPROST	0.005	%	COLLYRE	1 FLACON 2.5 ML	 157,00   	 97,80   	 157,00   	P	70%
6118010115851	CEFTAJECT I.M 500 MG/2ML	CEFTRIAXONE	500	MG	POUDRE POUR SOLUTION INJECTABLE	1 BOITE 1 FLACON + AMPOULE	 55,00   	 -     	 55,00   	G	70%
6118000241409	CEFTAJECT I.M 500 MG/2ML	CEFTRIAXONE	500	MG	POUDRE POUR SOLUTION INJECTABLE	1 BOITE 1 FLACON + AMPOULE	 55,00   	 -     	 55,00   	G	70%
6118010000225	GLIDIABET	GLIBENCLAMIDE	5	MG	COMPRIME SECABLE	1 BOITE 30 COMPRIME	 25,70   	 17,00   	 25,70   	G	70%
